benchmark,model,variant,raw_accuracy,quantized_accuracy,accuracy_delta,accuracy_retained_pct,original_size_gb,quantized_size_gb,gb_saved,compression_ratio,accuracy_points_lost_per_gb_saved,retained_pct_per_gb_saved,retained_pct_per_compression_ratio,load_seconds,normalized_load_seconds,raw_load_seconds,raw_normalized_load_seconds,load_ratio,normalized_load_ratio,evaluation_seconds,raw_evaluation_seconds,evaluation_ratio,examples_per_second,raw_examples_per_second,throughput_ratio,cuda_alloc_gb,raw_cuda_alloc_gb,cuda_alloc_ratio,cuda_reserved_gb,raw_cuda_reserved_gb,cuda_reserved_ratio
hellaswag,gemma-2-9b,int8_per_channel,0.697471,0.695778,-0.0016929999999999445,99.75726589349236,34.42803764343262,11.179067611694336,23.24897003173828,3.079688,7.282043022502714e-05,4.2908251745048895,32.392003960626,126.182,126.182,38.314,38.314,3.2933653494806077,3.2933653494806077,2993.086,574.146,5.213109557499312,3.355,17.49,0.1918238993710692,36.774,18.391,1.999565004621826,62.424,31.248,1.997695852534562
hellaswag,gemma-2-9b,int8_per_tensor,0.697471,0.696375,-0.0010959999999999859,99.84286085012853,34.42803764343262,11.172179363667965,23.255858279764652,3.081587,4.712791017279442e-05,4.293234833521652,32.39981894073688,203.023,203.023,38.314,38.314,5.298924675053505,5.298924675053505,2989.861,574.146,5.2074925193243535,3.359,17.49,0.19205260148656378,36.774,18.391,1.999565004621826,62.424,31.248,1.997695852534562
hellaswag,gemma-2-9b,int4_grouped,0.697471,0.682932,-0.014538999999999969,97.91546888687846,34.42803764343262,7.538450241088867,26.88958740234375,4.566991,0.0005406925655814533,3.641389784892867,21.439820855105356,630.901,630.901,38.314,38.314,16.46659184632249,16.46659184632249,2998.969,574.146,5.223356080160796,3.348,17.49,0.1914236706689537,36.774,18.391,1.999565004621826,62.424,31.248,1.997695852534562
hellaswag,llama-3-8b,int8_per_channel,0.693487,0.691396,-0.002090999999999954,99.69848028874371,14.957527160644531,7.973874092102051,6.9836530685424805,1.875817,0.0002994134988490136,14.275978389853096,53.149363871179176,256.91,256.91,4.646,4.646,55.297029702970306,55.297029702970306,428.588,430.498,0.9955632778781783,23.43,23.326,1.0044585441138643,15.526,15.526,1.0,23.387,23.387,1.0
hellaswag,llama-3-8b,int8_per_tensor,0.693487,0.675065,-0.01842199999999994,97.34356952617715,14.957527160644531,7.968270186334848,6.989256974309683,1.877136,0.002635759433043231,13.927599154528384,51.85749435639035,270.709,270.709,4.646,4.646,58.26711149375807,58.26711149375807,423.625,430.498,0.9840347690349317,23.705,23.326,1.0162479636457171,15.526,15.526,1.0,23.387,23.387,1.0
hellaswag,llama-3-8b,int4_grouped,0.693487,0.69767,0.004183000000000048,100.60318362132239,14.957527160644531,4.692054748535156,10.265472412109375,3.187842,-0.00040748246471985935,9.800151379555478,31.55839706651785,707.355,707.355,4.646,4.646,152.2503228583728,152.2503228583728,429.401,430.498,0.9974517883939067,23.386,23.326,1.0025722369887677,15.526,15.526,1.0,23.387,23.387,1.0
hellaswag,mistral-7b,int8_per_channel,0.732822,0.733021,0.00019900000000006024,100.02715529828528,13.500495910644531,6.880744934082031,6.6197509765625,1.962069,-3.0061553781196287e-05,15.11041059587219,50.980447322844036,241.058,241.058,11.11,11.11,21.697389738973897,21.697389738973897,448.154,450.195,0.9954664090005442,22.407,22.306,1.004527929705012,13.676,13.676,1.0,15.373,15.373,1.0
hellaswag,mistral-7b,int8_per_tensor,0.732822,0.733021,0.00019900000000006024,100.02715529828528,13.500495910644531,6.875496748834848,6.624999161809683,1.963567,-3.0037739649419285e-05,15.098440445834244,50.94155447625942,241.485,241.485,11.11,11.11,21.73582358235824,21.73582358235824,447.162,450.195,0.9932629194015926,22.457,22.306,1.006769479063929,13.676,13.676,1.0,15.373,15.373,1.0
hellaswag,mistral-7b,int4_grouped,0.732822,0.720574,-0.012247999999999926,98.32865279699573,13.500495910644531,3.7700271606445312,9.73046875,3.581008,0.0012587266158169334,10.105232884797633,27.45837283719995,626.864,626.864,11.11,11.11,56.42340234023403,56.42340234023403,450.01,450.195,0.9995890669598729,22.315,22.306,1.000403478884605,13.676,13.676,1.0,15.373,15.373,1.0
hellaswag,phi-3,int8_per_channel,0.723959,0.736407,0.012448000000000015,101.71943438785898,7.117315292358398,3.6544830799102783,3.46283221244812,1.947557,-0.003594745351868968,29.374635600939598,52.229246377825646,142.785,142.785,143.652,143.652,0.9939645810709214,0.9939645810709214,738.729,742.94,0.9943319783562602,13.594,13.517,1.005696530295184,7.462,7.467,0.9993303870362931,11.234,11.346,0.9901286797109113
hellaswag,phi-3,int8_per_tensor,0.723959,0.724457,0.0004979999999999984,100.06878842586389,7.117315292358398,3.650579933077097,3.4667353592813015,1.94964,-0.00014365099968381787,28.865424687798903,51.32680311537714,144.317,144.317,143.652,143.652,1.004629242892546,1.004629242892546,837.256,742.94,1.1269496863811344,11.994,13.517,0.8873270696160391,7.462,7.467,0.9993303870362931,11.234,11.346,0.9901286797109113
hellaswag,phi-3,int4_grouped,0.723959,0.722167,-0.0017920000000000158,99.75247217038535,7.117315292358398,2.0255470275878906,5.091768264770508,3.513774,0.0003519406042884364,19.59092931635633,28.388983517547043,385.076,385.076,143.652,143.652,2.680617046751873,2.680617046751873,738.498,742.94,0.9940210514981022,13.598,13.517,1.0059924539468819,7.462,7.467,0.9993303870362931,11.234,11.346,0.9901286797109113
mmlu,gemma-2-9b,int8_per_channel,0.44082,0.468523,0.027703000000000033,106.28442448164786,34.42803764343262,11.179067611694336,23.24897003173828,3.079688,-0.0011915796683543978,4.571575615459691,34.51142598914171,126.182,126.182,38.314,38.314,3.2933653494806077,3.2933653494806077,4634.75,852.88,5.434234593377732,3.03,16.464,0.18403790087463556,46.515,23.261,1.999699067108035,91.535,49.838,1.8366507484248966
mmlu,gemma-2-9b,int8_per_tensor,0.44082,0.49587,0.05504999999999999,112.48809037702463,34.42803764343262,11.172179363667965,23.255858279764652,3.081587,-0.0023671454881499686,4.836978666786191,36.50329858512015,203.023,203.023,38.314,38.314,5.298924675053505,5.298924675053505,4630.611,852.88,5.429381624613075,3.032,16.464,0.18415937803692908,46.515,23.261,1.999699067108035,91.535,49.838,1.8366507484248966
mmlu,gemma-2-9b,int4_grouped,0.44082,0.277525,-0.16329499999999997,62.95653554738896,34.42803764343262,7.538450241088867,26.88958740234375,4.566991,0.006072796787717422,2.341297938320227,13.785123628969044,630.901,630.901,38.314,38.314,16.46659184632249,16.46659184632249,4642.647,852.88,5.443493809211144,3.025,16.464,0.18373420796890186,46.515,23.261,1.999699067108035,91.535,49.838,1.8366507484248966
mmlu,llama-3-8b,int8_per_channel,0.298106,0.305512,0.007406000000000024,102.48435120393418,14.957527160644531,7.973874092102051,6.9836530685424805,1.875817,-0.0010604765052490916,14.674891521397285,54.63451456295267,265.961,265.961,3.585,3.585,74.18716875871688,74.18716875871688,663.403,663.395,1.000012059180428,21.167,21.167,1.0,17.905,17.905,1.0,27.578,27.578,1.0
mmlu,llama-3-8b,int8_per_tensor,0.298106,0.272753,-0.02535299999999996,91.495307038436,14.957527160644531,7.968270186334848,6.989256974309683,1.877136,0.003627424215934489,13.090848909225123,48.741970234674525,256.598,256.598,3.585,3.585,71.57545327754534,71.57545327754534,663.997,663.395,1.0009074533272033,21.148,21.167,0.99910237634053,17.905,17.905,1.0,27.578,27.578,1.0
mmlu,llama-3-8b,int4_grouped,0.298106,0.281513,-0.01659299999999997,94.4338590970997,14.957527160644531,4.692054748535156,10.265472412109375,3.187842,0.0016163893227579575,9.199173238798387,29.623130348712298,720.302,720.302,3.585,3.585,200.921059972106,200.921059972106,664.415,663.395,1.0015375455045636,21.134,21.167,0.9984409694335522,17.905,17.905,1.0,27.578,27.578,1.0
mmlu,mistral-7b,int8_per_channel,0.329868,0.320894,-0.008973999999999982,97.27951786775316,13.500495910644531,6.880744934082031,6.6197509765625,1.962069,0.0013556401187556446,14.695344011002119,49.5800697466568,241.058,241.058,11.11,11.11,21.697389738973897,21.697389738973897,636.958,639.049,0.9967279504388552,22.045,21.973,1.0032767487370866,14.376,14.376,1.0,18.291,18.291,1.0
mmlu,mistral-7b,int8_per_tensor,0.329868,0.336704,0.006836000000000009,102.07234408915082,13.500495910644531,6.875496748834848,6.624999161809683,1.963567,-0.0010318491871526047,15.407148226909174,51.983122597370404,241.485,241.485,11.11,11.11,21.73582358235824,21.73582358235824,635.846,639.049,0.9949878647803221,22.084,21.973,1.0050516543030084,14.376,14.376,1.0,18.291,18.291,1.0
mmlu,mistral-7b,int4_grouped,0.329868,0.364264,0.03439599999999998,110.42720118350371,13.500495910644531,3.7700271606445312,9.73046875,3.581008,-0.0035348759534323546,11.348600362495764,30.836904353049114,626.864,626.864,11.11,11.11,56.42340234023403,56.42340234023403,640.126,639.049,1.0016853167753959,21.936,21.973,0.9983161152323307,14.376,14.376,1.0,18.291,18.291,1.0
mmlu,phi-3,int8_per_channel,0.682524,0.68872,0.006195999999999979,100.90780690495865,7.117315292358398,3.6544830799102783,3.46283221244812,1.947557,-0.0017892868091404263,29.14025303975667,51.81250505374613,119.496,119.496,144.556,144.556,0.8266415783502586,0.8266415783502586,444.658,1221.273,0.36409385944010886,31.579,11.498,2.7464776482866586,9.18,9.198,0.9980430528375733,14.17,14.49,0.9779158040027605
mmlu,phi-3,int8_per_tensor,0.682524,0.662014,-0.020510000000000028,96.99497746599387,7.117315292358398,3.650579933077097,3.4667353592813015,1.94964,0.00591622892272112,27.978766018673593,49.75019873719962,124.356,124.356,144.556,144.556,0.8602617670660504,0.8602617670660504,445.277,1221.273,0.3646007076222925,31.535,11.498,2.7426508958079667,9.18,9.198,0.9980430528375733,14.17,14.49,0.9779158040027605
mmlu,phi-3,int4_grouped,0.682524,0.647272,-0.03525200000000006,94.83505341936693,7.117315292358398,2.0255470275878906,5.091768264770508,3.513774,0.006923331574986536,18.625170763469782,26.989514242910023,352.2,352.2,144.556,144.556,2.4364260217493565,2.4364260217493565,449.233,1221.273,0.36783995060891383,31.258,11.498,2.718559749521656,9.18,9.198,0.9980430528375733,14.17,14.49,0.9779158040027605
